PlayerID, PlayerName, TotalOnCourtTime, TotalPlusMinus, AveragePlusMinus ,Unweighted_PlusMinus,Weighted_PlusMinus,Ridge_Plus_Min
585,Diana Taurasi,64451.7,-41,-1.53,0.254060005,0.194122349,0.016224156
869,DeWanna Bonner,77800.7,202,6.23,0.346327326,0.383702549,0.071445836
887,Sami Whitcomb,36960.4,90,5.84,0.359306403,0.304556906,0.004480585
918,Tina Charles,70514.5,-44,-1.5,0.379513841,-0.080351751,0.048922785
924,Alysha Clark,58605.8,172,7.04,0.32425883,0.538837333,0.041327691
981,Courtney Vandersloot,42274.8,148,8.4,0.235824852,-0.045872558,0.02931595
1004,Sydney Colson,15413,55,8.56,0.497941751,0.378337047,0.043841413
1054,Tiffany Hayes,42475.5,135,7.63,0.187937826,0.27329168,0.011602672
1068,Nneka Ogwumike,72760,211,6.96,0.355103068,0.292826496,0.101359031
2284331,Emma Cannon,554.1,5,21.66,1.310582796,2.199165542,0.004854324
2490553,Brittney Griner,53117.7,-9,-0.41,0.151531458,-0.415087837,0.018062713
2490794,Layshia Clarendon,20076.2,-63,-7.53,0.363741985,0.581521005,-0.001798254
2491205,Skylar Diggins-Smith,76332.5,223,7.01,0.795119619,1.08077794,0.092008469
2491214,Erica Wheeler,32740.2,-51,-3.74,0.183609957,-0.060799422,-0.034382919
2529047,Odyssey Sims,41986.9,-135,-7.72,0.337786674,0.783635195,0.020338055
2529122,Chelsea Gray,43055.7,143,7.97,0.431975474,0.313998324,0.068954371
2529130,Natasha Howard,49796.5,-192,-9.25,0.004841914,-0.090281331,-0.028279282
2529137,Natasha Cloud,76504.5,-230,-7.22,0.253105023,0.572710701,0.003421442
2529140,Alyssa Thomas,79469.4,176,5.32,0.076598315,0.007947157,0.037080775
2529183,Stefanie Dolson,61283.8,-83,-3.25,-0.112912515,-0.414191777,-0.0232349
2529205,Kayla McBride,77752.7,329,10.16,0.193167542,0.126775543,0.087237792
2529458,Cheyenne Parker-Tyus,29509.2,-111,-9.03,-0.113815103,-0.357174684,-0.035941751
2529622,Kayla Thornton,50273.1,81,3.87,0.009842683,-0.040278123,0.014124445
2566081,Elizabeth Williams,14939.9,12,1.93,0.356727375,0.432843219,0.032181971
2566106,Dearica Hamby,81326,-391,-11.54,-0.00755555,-0.291010847,-0.059554327
2566110,Julie Vanloo,55615.5,-83,-3.58,0.279308397,0.42633989,-0.020805376
2566186,Rachel Banham,35199.5,-73,-4.98,0.055380282,-0.087012393,-0.020587644
2566453,Isabelle Harrison,35192.2,-209,-14.25,0.066759264,-0.114868011,-0.100036389
2569044,Temi Fagbenle,25196.8,-2,-0.19,0.19365982,0.635444683,0.003443374
2590093,Kiah Stokes,42994.1,47,2.62,0.011620404,0.084309006,0.032773401
2593770,Betnijah Laney-Hamilton,52887.2,275,12.48,0.45672619,0.700086304,0.121738146
2955898,Damiris Dantas,12582,0,0,0.306262294,0.755067312,0.012712087
2984741,Tiffany Mitchell,23765,113,11.41,0.256730799,0.572309343,0.075492564
2987869,Jewell Loyd,75854.6,192,6.07,0.368149264,0.290160001,0.045112598
2987891,Courtney Williams,66534.6,257,9.27,0.281366817,0.219248364,0.074066513
2988756,Brittney Sykes,25543,9,0.85,0.59063079,1.101175543,0.021761313
2998927,Moriah Jefferson,11059.8,-51,-11.07,-0.06741964,-0.08066987,-0.052590548
2998928,Breanna Stewart,78764,332,10.12,0.071933106,0.108371104,0.071100721
2998938,Kahleah Copper,72496.6,-201,-6.65,0.210657929,0.261226048,-0.045323115
2999035,Aerial Powers,18220.4,-64,-8.43,0.103339061,0.110240826,-0.025844253
2999101,Jonquel Jones,72870.3,364,11.99,0.451892511,0.611394107,0.111470431
3054590,Nia Coffey,31921.9,-144,-10.83,-0.197163215,-0.278621237,-0.068331302
3056672,Mercedes Russell,34844.7,-44,-3.03,-0.124039119,0.163885998,-0.04042497
3056730,Karlie Samuelson,42691.1,-12,-0.67,0.221026168,0.173747847,0.02297263
3058892,Lexie Brown,22719.8,-43,-4.54,0.338487973,0.41531584,0.037860008
3058893,Shatori Walker-Kimbrough,52945.5,-28,-1.27,0.272958095,0.253567919,-0.001692384
3058895,Brionna Jones,66298.7,261,9.45,0.735987281,0.369096079,0.081767818
3058901,Allisha Gray,82023.2,-134,-3.92,0.291743697,0.414644072,0.025092842
3058902,Diamond DeShields,26433,-123,-11.17,-0.037482381,-0.158916196,-0.06926609
3058908,Lindsay Allen,57017,-71,-2.99,0.167287475,0.250494957,0.053834179
3065570,Kelsey Plum,78541.5,181,5.53,0.564853046,0.63476239,0.065755107
3099025,Astou Ndour-Fall,5541.4,-73,-31.62,-0.914647308,-1.437554973,-0.039904274
3099736,Stephanie Talbot,36310.3,-61,-4.03,0.334760498,-0.070652803,-0.013844892
3102133,Rebecca Allen,27139.4,-22,-1.95,0.267138402,0.615495273,0.006593376
3142010,Azura Stevens,29598.8,-145,-11.76,-0.029818725,-0.57764416,-0.060244918
3142055,Myisha Hines-Allen,45096.8,-71,-3.78,-0.086017665,-0.094933428,-0.065893852
3142086,Brianna Turner,15159.4,-101,-15.99,-0.082634844,-0.278036109,-0.062559878
3142191,Kelsey Mitchell,77956.4,-92,-2.83,0.282944347,0.037098073,0.022117673
3142250,Jordin Canada,38327.2,19,1.19,0.253608083,0.432338133,-0.030754096
3142255,Monique Billings,51194.1,-180,-8.44,0.012105487,0.014206521,-0.058362524
3142327,Kia Nurse,48629.4,-208,-10.27,0.098114783,0.302007193,-0.012529109
3142948,Victoria Vivians,26834.6,96,8.59,0.033486538,-0.064966211,0.019599983
3143510,Morgan Bertsch,6029.4,-54,-21.49,-0.211251087,-0.463545611,-0.055512825
3146151,Ariel Atkins,72352.7,-74,-2.45,0.511129778,0.429981439,0.034660618
3149391,A'ja Wilson,80472.5,258,7.69,0.082122485,-0.231921043,0.02936295
3156318,Kristy Wallace,26754.2,-93,-8.34,0.050995872,-0.463476167,-0.067500531
3904576,Marina Mabrey,74101.9,115,3.72,0.266060731,0.366657616,0.061916462
3904577,Arike Ogunbowale,90690.2,-359,-9.5,0.328514905,0.23688036,-0.012254283
3906753,Natisha Hiedeman,37142.5,24,1.55,-0.045727426,-0.318422455,-0.054939544
3906972,Bridget Carleton,73030.8,393,12.92,0.19735938,0.061385275,0.047208771
3907781,Sophie Cunningham,66903.8,47,1.69,0.279310319,0.020766837,-0.027118619
3913881,Alanna Smith,64277.4,247,9.22,0.360224059,0.550519594,0.033654133
3913903,Teaira McCowan,60129.3,-183,-7.3,0.257664932,0.511622715,0.00660764
3916514,Kalani Brown,30780.1,-125,-9.75,0.289801715,0.484330346,-0.021972855
3917450,Napheesa Collier,74009.7,369,11.97,0.778594238,1.106513573,0.140414577
3917453,Katie Lou Samuelson,40304.2,-130,-7.74,-0.116838863,0.210292853,-0.046661321
3922628,Kennedy Burke,28062.6,63,5.39,-0.108973705,-0.168452753,0.001058096
3934218,Megan Gustafson,24285.4,58,5.73,0.216890934,0.618658487,0.013355299
4038390,Olivia Epoupa,6830.1,4,1.41,0.262650293,0.387883004,0.001302883
4065759,Mikiah Herbert Harrigan,20155.8,-126,-15,-0.345601735,-0.936805612,-0.059681551
4065760,Tyasha Harris,67826.8,163,5.77,0.279074917,0.254090941,0.030305427
4065820,Kysre Gondrezick,975,-2,-4.92,-0.205740646,-0.264227592,-0.001839789
4065870,Jackie Young,73557.5,246,8.03,0.175766638,0.220717096,0.032067752
4066527,Jaelyn Brown,8464.3,-77,-21.83,-0.405900588,-0.295214186,-0.049246151
4066533,Sabrina Ionescu,76719.9,302,9.45,0.357407434,0.244206428,0.065001791
4066548,DiJonai Carrington,69646.2,84,2.89,-0.108452199,0.132581346,-0.02865243
4066553,Aari McDonald,34373.9,-60,-4.19,0.343513767,0.472834488,-0.032145138
4066585,Crystal Dangerfield,26424.5,-172,-15.62,0.097082773,0.359090422,-0.042278397
4068042,Natasha Mack,37128.7,-128,-8.27,0.001002644,-0.257162133,-0.058282681
4068159,Sug Sutton,22776.7,-50,-5.27,0.131506081,0.481768528,-0.055238759
4068161,Joyner Holmes,13838.8,-6,-1.04,-0.247537829,-0.606770774,-0.03681673
4257500,Cecilia Zandalasini,29847.8,39,3.14,0.077303604,-0.303886037,-0.035553355
4280850,Maya Caldwell,24248.4,-125,-12.37,-0.015198824,0.036913653,-0.062567429
4280892,Chennedy Carter,51494,-10,-0.47,0.329550961,0.331473733,0.035617318
4281183,Lorela Cubaj,13241.4,-67,-12.14,0.09005121,-0.127584858,-0.050116852
4281190,Dana Evans,44599,-235,-12.65,-0.320162108,-0.598018107,-0.129623133
4281253,DiDi Richards,12159,-85,-16.78,-0.405509848,-0.25057273,-0.049549115
4281929,Satou Sabally,31040.9,-64,-4.95,0.435886534,0.678972696,0.037233991
4282168,Kiana Williams,2700.3,-2,-1.78,0.614750634,0.409014889,-0.001690101
4282173,Michaela Onyenwere,38152.2,-105,-6.61,0.142434746,0.207022632,-0.014399035
4398567,Taylor Soule,182.2,-10,-131.72,-1.918329492,-2.102764496,-0.01156093
4398591,Liz Dixon,9621.2,-55,-13.72,-0.164119018,-0.786179377,-0.023333412
4398674,Rhyne Howard,61987.9,-46,-1.78,0.357309487,0.584399281,0.0394688
4398726,Jessika Carter,258,-9,-83.72,-5.728965048,-7.638420211,-0.010912707
4398729,Emily Engstler,28135.1,11,0.94,-0.071999843,-0.400738805,0.062601189
4398751,Destanni Henderson,6288,-40,-15.27,0.377084979,0.61591464,0.005024624
4398752,Victaria Saxton,1363,-10,-17.61,-1.152943606,-1.675608474,-0.007251191
4398764,Rae Burrell,35051.2,-130,-8.9,0.259430602,0.757971379,-0.011397715
4398768,Nyara Sabally,21108,72,8.19,0.243531642,0.331248444,0.034168244
4398776,NaLyssa Smith,59568.1,-147,-5.92,-0.272979504,-0.391781225,-0.052290451
4398779,Queen Egbo,1744,-1,-1.38,-0.089911294,-0.266395516,-0.000376021
4398829,Lexie Hull,40569.9,-24,-1.42,0.272957259,0.20826496,0.054286873
4398899,Grace Berger,6136,-59,-23.08,0.25669272,-0.00545299,0.008069887
4398907,Kate Martin,23511.9,24,2.45,-0.113578112,-0.421493984,-0.021947525
4398911,Shakira Austin,14968.9,-28,-4.49,0.116592409,-0.234860697,0.011740749
4398915,Naz Hillmon,52958.2,-14,-0.63,0.10633707,-0.255646934,0.010923134
4398935,Veronica Burton,23849.4,155,15.6,0.270849938,0.467794019,0.072159624
4398938,Dorka Juhasz,33952.6,64,4.52,0.220796557,0.490008194,0.003787659
4398966,Olivia Nelson-Ododa,26158,90,8.26,0.30421282,-0.379207254,0.013579067
4399114,Lou Lopez Senechal,7526.8,-97,-30.93,-0.489818738,-0.773546219,-0.074231197
4399415,Maddy Siegrist,39222.4,-151,-9.24,0.265560071,0.389303681,-0.04430194
4420318,Ezi Magbegor,68730.8,257,8.97,0.085788313,-0.394713909,0.052860229
4422426,Li Yueru,32786.7,-137,-10.03,0.053529591,0.00237285,-0.017810708
4432830,Jordan Horston,52884.9,7,0.32,-0.128796903,0.00556478,-0.041245722
4432831,Aliyah Boston,75003.8,53,1.7,0.396650021,0.454304737,0.040718771
4432832,Zia Cooke,15450.2,-98,-15.22,-0.049866241,0.050927424,-0.069024213
4432834,Laeticia Amihere,4959.3,-61,-29.52,0.145928225,0.405474499,-0.008561518
4432841,Jakia Brown-Turner,478.1,-7,-35.14,-0.767319996,-1.914384023,-0.008956076
4432864,Celeste Taylor,19619.6,-29,-3.55,0.345053557,1.009044636,0.036606709
4432865,Jacy Sheldon,56098,-273,-11.68,-0.141426466,-0.720801114,-0.077430088
4433293,Charisma Osborne,599,2,8.01,1.07419791,1.615749809,0.00516305
4433386,Jaylyn Sherrod,2200.3,13,14.18,0.361967663,0.329080741,0.004541292
4433402,Angel Reese,67301.9,-68,-2.42,0.544447578,0.331520252,0.053450079
4433403,Caitlin Clark,86819.4,-69,-1.91,0.279660545,0.196149477,0.028020646
4433404,Cameron Brink,19770.8,-70,-8.5,0.028964025,-0.245116158,-0.000198358
4433405,Kamilla Cardoso,52548.4,-149,-6.81,0.131118829,0.128252923,-0.031152553
4433408,Aaliyah Edwards,44443.8,-90,-4.86,-0.13011098,-0.332143582,-0.073482266
4433468,Nika Muhl,3415.1,-7,-4.92,-0.690509561,-0.535231254,-0.023269993
4433630,Rickea Jackson,69422.5,-372,-12.86,0.023308919,-0.156383043,-0.044538506
4433633,Kierstan Bell,2599,2,1.85,-0.549099896,-0.979304213,-0.006463273
4433635,Diamond Miller,12771.5,-51,-9.58,-0.23880097,-0.416958038,-0.09049359
4433661,Marquesha Davis,4812,-16,-7.98,-0.17448252,0.164896747,-0.01448778
4594527,Dulcy Fankam Mendjiadeu,2182.3,-11,-12.1,-0.576807735,-0.876826307,-0.010564079
4595236,Dyaisha Fair,236,-3,-30.51,-1.928546324,-2.084920051,-0.001301794
4595910,Haley Jones,42740.1,-195,-10.95,0.140956714,0.215865035,-0.020967509
4683006,Leonie Fiebich,50725.8,311,14.71,0.592904723,0.639191175,0.133885243
5017721,Sika Kone,13035.3,13,2.39,0.128372232,-0.126471365,0.038705978
5017726,Jade Melbourne,31393.8,-8,-0.61,0.387449032,0.650518644,0.051590243
5105752,Alissa Pili,8292.7,-32,-9.26,-0.108743313,0.434527569,-0.042971529
5106150,Stephanie Soares,10524.6,-36,-8.21,-0.063822212,0.074226073,-0.038471626
5130672,Ivana Dojkic,15441,32,4.97,0.085598573,0.103599542,-0.044007175
5209660,Sevgi Uzun,49795.8,-162,-7.81,-1.223758894,-1.223758894,-1.23162381