GameID,Dallas,Indiana,LosAngeles,Minnesota,NewYork,Phoenix,Seattle,Washington,LasVegas,Connecticut,Chicago,Atlanta,ScoreDifferential
401620178,0, 0, 0, 0, -1, 0, 0, 1, 0, 0, 0, 0, -5
401620219,0, -1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 21
401620220,0, 0, 0, 0, 0, -1, 0, 0, 1, 0, 0, 0, 9
401620221,0, 0, 0, -1, 0, 0, 1, 0, 0, 0, 0, 0, -13
401620222,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 8
401620223,0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, -1, -11
401620224,0, 1, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, -36
401620225,0, 0, 0, 0, 0, 0, 0, -1, 0, 1, 0, 0, 7
401620226,0, 0, 0, 1, 0, 0, -1, 0, 0, 0, 0, 0, 0
401620227,0, -1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 11
401620228,0, 0, -1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 7
401620229,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, -9
401620230,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, -1, 3
401620231,0, 0, 0, 0, 0, 0, -1, 1, 0, 0, 0, 0, -9
401620232,0, 1, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, -4
401620233,0, 0, 0, 0, 1, 0, -1, 0, 0, 0, 0, 0, 11
401620234,-1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
401620235,0, 0, 0, 0, 0, -1, 0, 0, 1, 0, 0, 0, -10
401620236,0, 0, 1, 0, 0, 0, 0, -1, 0, 0, 0, 0, 2
401620237,0, -1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 2
401620238,0, 0, 0, -1, 0, 0, 0, 0, 0, 1, 0, 0, 0
401620239,0, 0, 0, 0, 1, 0, 0, 0, 0, 0, -1, 0, -9
401620240,0, 0, 0, 0, 0, 1, 0, -1, 0, 0, 0, 0, 3
401620241,0, -1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, -5
401620242,0, 0, 0, 1, -1, 0, 0, 0, 0, 0, 0, 0, 17
401620243,0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 1, 0, -4
401620244,0, -1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 19
401620245,0, 0, 0, 0, 0, 0, 1, -1, 0, 0, 0, 0, 32
401620246,-1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, -15
401620247,0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 1, -13
401620248,-1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1
401620249,0, 0, 0, 0, 0, -1, 0, 0, 0, 1, 0, 0, 23
401620250,0, 1, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, -6
401620251,0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 1, 0, -9
401620252,0, 0, 0, 0, 1, -1, 0, 0, 0, 0, 0, 0, 3
401620253,0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, -1, -6
401620254,0, 0, 0, 1, 0, 0, 0, 0, -1, 0, 0, 0, -14
401620255,0, 1, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, -15
401620256,0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 10
401620257,0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 1, 4
401620258,-1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 2
401620259,0, 0, 0, 0, 1, 0, 0, -1, 0, 0, 0, 0, 11
401620260,0, 0, 0, 1, 0, -1, 0, 0, 0, 0, 0, 0, 24
401620261,0, 1, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 1
401620262,0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 1, -19
401620263,0, -1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 36
401620264,-1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 11
401620265,0, 0, -1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 19
401620266,0, 0, 0, 0, 0, 0, 0, -1, 0, 1, 0, 0, 17
401620267,0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 1, 0, -13
401620268,0, 0, 0, 0, 0, -1, 1, 0, 0, 0, 0, 0, 18
401620269,1, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, -14
401620270,0, 0, 1, -1, 0, 0, 0, 0, 0, 0, 0, 0, -24
401620271,0, 0, 0, 0, 0, 0, 0, 1, 0, 0, -1, 0, -8
401620272,0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 1, -17
401620273,0, -1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, -2
401620274,0, 0, 0, 0, 0, 0, -1, 0, 1, 0, 0, 0, -13
401620275,-1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9
401620276,0, 0, 0, -1, 0, 1, 0, 0, 0, 0, 0, 0, 1
401620277,0, 0, 0, 0, -1, 0, 0, 0, 0, 1, 0, 0, -7
401620278,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, -1, -9
401620279,0, 0, 0, 0, 1, 0, 0, -1, 0, 0, 0, 0, 5
401620280,1, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0
401620281,0, 0, 0, 1, 0, 0, -1, 0, 0, 0, 0, 0, 19
401620282,0, 0, 1, 0, 0, 0, 0, 0, -1, 0, 0, 0, 4
401620283,0, -1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 17
401620284,0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 1, -19
401620285,0, 0, 0, -1, 0, 0, 0, 0, 1, 0, 0, 0, -14
401620286,0, 0, -1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 16
401620287,0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 1, 0, -8
401620288,0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 7
401620289,1, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, -8
401620290,0, 0, 0, 0, 0, 1, 0, 0, -1, 0, 0, 0, -4
401620291,0, 0, 0, 0, 0, 0, 0, 1, 0, 0, -1, 0, 2
401620292,0, 0, -1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 5
401620293,1, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, -18
401620294,0, 0, 0, 0, -1, 0, 0, 0, 1, 0, 0, 0, -8
401620295,0, 0, 0, 0, 0, 1, -1, 0, 0, 0, 0, 0, 9
401620296,0, 1, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 8
401620297,0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
401620298,-1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 12
401620299,0, 0, -1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 9
401620300,0, 0, 0, 0, -1, 1, 0, 0, 0, 0, 0, 0, 6
401620301,0, 1, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 7
401620302,0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, -1, 13
401620303,0, 0, 0, 0, 0, 0, -1, 0, 1, 0, 0, 0, 11
401620304,-1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 11
401620305,0, 0, -1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 13
401620306,0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, -12
401620307,0, 0, 0, 0, 0, 0, 0, 0, 1, -1, 0, 0, 11
401620308,-1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 28
401620309,0, 0, -1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 10
401620310,0, 0, 0, 1, 0, -1, 0, 0, 0, 0, 0, 0, 13
401620311,0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 1, -21
401620312,-1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 8
401620313,0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1
401620314,0, 0, 0, 0, 0, 0, 1, 0, 0, -1, 0, 0, 11
401620315,1, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 6
401620316,0, 0, 0, 0, 0, 0, 0, 1, 0, -1, 0, 0, 0
401620317,0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 1, 0, -12
401620318,0, -1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 12
401620319,0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, -1, -4
401620320,0, 0, -1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 14
401620321,0, 0, 0, 0, 0, 0, 0, 1, -1, 0, 0, 0, -11
401620322,-1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 21
401620323,0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, -1, 6
401620324,0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 1, 0, -8
401620325,0, -1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, -6
401620326,0, 0, 0, 0, 0, 1, 0, 0, 0, -1, 0, 0, -11
401620327,-1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 24
401620328,0, 0, 0, -1, 1, 0, 0, 0, 0, 0, 0, 0, 9
401620329,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 1, -8
401620330,0, -1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 19
401620331,0, 0, 1, 0, 0, 0, 0, -1, 0, 0, 0, 0, -2
401620332,1, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, -8
401620333,0, 0, 0, 1, 0, 0, 0, 0, 0, -1, 0, 0, -5
401620334,0, 0, 0, 0, 0, 0, 0, -1, 1, 0, 0, 0, 21
401620335,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 3
401620336,0, 0, 1, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0
401620337,0, 0, 0, 0, 0, 0, 1, 0, 0, 0, -1, 0, -4
401620338,0, 1, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 5
401620339,0, 0, 0, 1, 0, 0, 0, -1, 0, 0, 0, 0, 7
401620340,0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, -1, 13
401620341,-1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 19
401620342,0, 0, 0, 0, 0, 0, 1, 0, 0, 0, -1, 0, 13
401620343,0, 0, 1, 0, 0, -1, 0, 0, 0, 0, 0, 0, -6
401620344,0, 0, 1, -1, 0, 0, 0, 0, 0, 0, 0, 0, -15
401620345,0, 0, 0, 0, -1, 0, 0, 0, 0, 1, 0, 0, -3
401620346,0, 1, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, -5
401620347,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, -1, 9
401620348,0, 0, 0, 0, 0, 0, 1, 0, -1, 0, 0, 0, -5
401620349,-1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 16
401620350,0, 0, 0, 0, 1, 0, 0, 0, 0, 0, -1, 0, 15
401620351,0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 1, -14
401620352,0, 1, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 9
401620353,0, 0, 0, -1, 0, 0, 1, 0, 0, 0, 0, 0, 28
401620354,0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 1, 0, -14
401620355,1, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, -6
401620356,0, 0, 0, 0, 0, -1, 0, 0, 0, 1, 0, 0, 27
401620357,0, 0, 0, 0, 0, 0, 0, 1, -1, 0, 0, 0, -12
401620358,0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, -1, 11
401620359,0, -1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, -7
401620360,0, 0, 0, 0, 0, -1, 0, 1, 0, 0, 0, 0, -9
401620361,0, 0, 1, 0, 0, 0, -1, 0, 0, 0, 0, 0, -6
401620362,0, 0, 0, 0, 1, 0, 0, 0, 0, -1, 0, 0, 8
401620363,0, 0, 0, 0, 0, 0, 0, 0, 1, 0, -1, 0, -8
401620364,0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, -1, 7
401620365,1, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
401677672,0, 0, 0, -1, 1, 0, 0, 0, 0, 0, 0, 0, -5
